14:06:23 INF cmd/nasd/main.go:297 > loading config file path=/home/seanbao/.config/mnemonas/config.toml
14:06:23 INF cmd/nasd/main.go:79 > starting MnemoNAS address=0.0.0.0:8080 data_dir=/home/seanbao/.mnemonas/data version=dev
14:06:23 WRN cmd/nasd/main.go:87 > ⚠️  WebDAV authentication is DISABLED - WebDAV access is unprotected!
14:06:23 WRN cmd/nasd/main.go:88 >    Set [webdav].auth_type = "basic" to enable WebDAV authentication
14:06:23 WRN cmd/nasd/main.go:91 > ⚠️  TLS/HTTPS is DISABLED - data transmitted in plain text!
14:06:23 WRN cmd/nasd/main.go:92 >    Set [server.tls].enabled = true for secure connections
14:20:34 INF internal/api/server.go:1211 > request bytes=41 duration=0.021034 method=GET path=/api/v1/ui/config remote=127.0.0.1:44120 status=401
14:31:59 INF internal/api/server.go:1211 > request bytes=41 duration=0.065746 method=GET path=/api/v1/ui/config remote=127.0.0.1:44538 status=401
14:31:59 INF internal/api/server.go:1211 > request bytes=41 duration=0.042695 method=GET path=/api/v1/ui/config remote=127.0.0.1:44540 status=401
14:32:00 INF internal/api/server.go:1211 > request bytes=41 duration=0.062255 method=GET path=/api/v1/ui/config remote=127.0.0.1:44544 status=401
14:32:00 INF internal/api/server.go:1211 > request bytes=41 duration=0.035309 method=GET path=/api/v1/ui/config remote=127.0.0.1:44554 status=401
14:32:29 INF internal/api/server.go:1211 > request bytes=41 duration=0.061616 method=GET path=/api/v1/ui/config remote=127.0.0.1:43588 status=401
14:32:29 INF internal/api/server.go:1211 > request bytes=41 duration=0.036724 method=GET path=/api/v1/ui/config remote=127.0.0.1:43604 status=401
14:34:32 INF internal/api/server.go:1211 > request bytes=41 duration=0.046311 method=GET path=/api/v1/ui/config remote=127.0.0.1:38988 status=401
14:34:32 INF internal/api/server.go:1211 > request bytes=41 duration=0.045239 method=GET path=/api/v1/ui/config remote=127.0.0.1:38996 status=401
14:34:33 INF internal/api/server.go:1211 > request bytes=41 duration=0.08368 method=GET path=/api/v1/ui/config remote=127.0.0.1:39008 status=401
14:34:33 INF internal/api/server.go:1211 > request bytes=41 duration=0.062441 method=GET path=/api/v1/ui/config remote=127.0.0.1:39012 status=401
